name,type,for_profit,admissions_rate,average_net_price_public,average_net_price_private,median_10yr_earnings,median_debt,completion_rate,average_net_price
New Mexico Institute of Mining and Technology,Public,No,0.2168,13694,NULL,50000,12325,0.4722,13694
University of New Mexico-Main Campus,Public,No,0.6704,14315,NULL,36400,13484,0.4868,14315
New Mexico State University-Main Campus,Public,No,0.6384,8625,NULL,34600,11000,0.4586,8625
University of the Southwest,Private,No,0.352,NULL,15761,36200,11000,0.2319,15761
Western New Mexico University,Public,No,NULL,12045,NULL,30900,12250,0.2665,12045
Adelphi University,Private,No,0.7312,NULL,28322,58500,19500,0.6752,28322
Albany College of Pharmacy and Health Sciences,Private,No,0.7855,NULL,29761,124700,25000,0.7619,29761
Alfred University,Private,No,0.6273,NULL,22286,41400,19500,0.5331,22286
Bard College,Private,No,0.5821,NULL,26792,39700,20500,0.7402,26792
Boricua College,Private,No,NULL,NULL,15671,32800,5000,0.7133,15671
Canisius College,Private,No,0.7819,NULL,20913,47300,20344,0.6934,20913
Clarkson University,Private,No,0.6571,NULL,30563,72000,23000,0.7294,30563
Colgate University,Private,No,0.2814,NULL,23310,63600,15000,0.9123,23310
Metropolitan College of New York,Private,No,0.9127,NULL,20806,36600,14750,0.2234,20806
Columbia University in the City of New York,Private,No,0.0661,NULL,24231,83300,19500,0.9514,24231
Concordia College-New York,Private,No,0.7553,NULL,16852,48000,20500,0.4593,16852
Cooper Union for the Advancement of Science and Art,Private,No,0.1305,NULL,14981,64900,13000,0.8462,14981
Cornell University,Private,No,0.1267,NULL,31230,77200,13000,0.9339,31230
Culinary Institute of America,Private,No,0.9718,NULL,31036,43200,12000,0.7288,31036
CUNY Bernard M Baruch College,Public,No,0.2925,2695,NULL,57200,9500,0.6987,2695
CUNY Brooklyn College,Public,No,0.4043,2725,NULL,43900,9176,0.5812,2725
College of Staten Island CUNY,Public,No,NULL,5687,NULL,41500,8500,0.3018,5687
CUNY City College,Public,No,0.4637,2540,NULL,46300,9500,0.4997,2540
CUNY Hunter College,Public,No,0.4018,3170,NULL,47200,9600,0.5192,3170
CUNY John Jay College of Criminal Justice,Public,No,0.3875,3843,NULL,44900,8560,0.4745,3843
CUNY Lehman College,Public,No,0.35,1886,NULL,43100,8315,0.4556,1886
CUNY Queens College,Public,No,0.4273,3318,NULL,48200,9000,0.5384,3318
CUNY York College,Public,No,0.4447,3820,NULL,40800,7378,0.2929,3820
D'Youville College,Private,No,0.9667,NULL,19022,46400,21500,0.5448,19022
Daemen College,Private,No,0.4942,NULL,17119,42800,15000,0.5517,17119
Dominican College of Blauvelt,Private,No,0.6895,NULL,19690,46300,15625,0.4318,19690
Elmira College,Private,No,0.8511,NULL,26243,45900,25000,0.6034,26243
Fashion Institute of Technology,Public,No,0.4704,11772,NULL,48900,12734,0.7676,11772
Five Towns College,Private,Yes,0.9053,NULL,21798,34400,16018,0.3077,21798
Fordham University,Private,No,0.4644,NULL,35694,59200,22250,0.7946,35694
Hilbert College,Private,No,0.8676,NULL,17787,42600,20000,0.5022,17787
Hobart William Smith Colleges,Private,No,0.6392,NULL,35172,53500,25000,0.8088,35172
Hofstra University,Private,No,0.6395,NULL,32240,53100,18523,0.6305,32240
Houghton College,Private,No,0.9135,NULL,19325,37400,19500,0.7328,19325
Iona College,Private,No,0.922,NULL,26717,56100,18500,0.6441,26717
Ithaca College,Private,No,0.7052,NULL,33848,52300,20500,0.7603,33848
The Juilliard School,Private,No,0.0592,NULL,35019,32800,25356,0.9505,35019
Keuka College,Private,No,0.7003,NULL,25600,43800,19960,0.5736,25600
LIM College,Private,Yes,0.9293,NULL,36730,46000,17750,0.4724,36730
Le Moyne College,Private,No,0.6395,NULL,23130,49600,19500,0.7362,23130
LIU Brooklyn,Private,No,0.8426,NULL,26355,49000,18750,0.352,26355
Long Island University,Private,No,0.8269,NULL,28989,49000,18750,0.4732,28989
Manhattan College,Private,No,0.7539,NULL,30521,65000,21500,0.7519,30521
Manhattan School of Music,Private,No,0.4287,NULL,46324,32300,19270,0.6939,46324
Manhattanville College,Private,No,0.8206,NULL,21923,45600,20205,0.546,21923
Marist College,Private,No,0.4262,NULL,35290,56900,21198,0.8365,35290
Medaille College,Private,No,0.7453,NULL,11664,39400,14250,0.4344,11664
Mercy College,Private,No,0.7873,NULL,16685,39700,18277,0.4303,16685
Molloy College,Private,No,0.7603,NULL,27949,60500,23844,0.7197,27949
Monroe College,Private,Yes,0.5222,NULL,11821,30300,14166,0.5306,11821
Mount Saint Mary College,Private,No,0.9338,NULL,24301,51600,20500,0.5376,24301
College of Mount Saint Vincent,Private,No,0.9109,NULL,16802,54400,24750,0.5399,16802
Nazareth College,Private,No,0.6264,NULL,29081,44300,21000,0.6674,29081
The College of New Rochelle,Private,No,0.6757,NULL,33513,33900,18099,0.3333,33513
The New School,Private,No,0.6151,NULL,40819,44500,17125,0.6733,40819
New York University,Private,No,0.2766,NULL,40336,61900,19500,0.8354,40336
Niagara University,Private,No,0.842,NULL,19307,42800,21875,0.6762,19307
New York Institute of Technology,Private,No,0.7693,NULL,22349,55100,15200,0.4957,22349
New York School of Interior Design,Private,No,0.3333,NULL,34917,52200,14250,0.6364,34917
Nyack College,Private,No,0.984,NULL,21478,41300,17897,0.4456,21478
Pace University,Private,No,0.7956,NULL,29588,60300,18750,0.5358,29588
Pratt Institute-Main,Private,No,0.568,NULL,43969,43400,20000,0.6629,43969
Rensselaer Polytechnic Institute,Private,No,0.4317,NULL,34839,82000,23250,0.8339,34839
Roberts Wesleyan College,Private,No,0.6887,NULL,23304,40900,19500,0.5975,23304
Rochester Institute of Technology,Private,No,0.5672,NULL,29895,62400,23000,0.673,29895
University of Rochester,Private,No,0.3421,NULL,30480,61200,19000,0.8525,30480
The Sage Colleges,Private,No,0.556,NULL,19704,44800,19625,0.5588,19704
St Bonaventure University,Private,No,0.7053,NULL,26071,47700,23250,0.6871,26071
St Francis College,Private,No,0.6321,NULL,9560,45700,17750,0.4714,9560
St Lawrence University,Private,No,0.4833,NULL,27691,50100,23250,0.854,27691
The College of Saint Rose,Private,No,0.8273,NULL,23038,43800,19000,0.5859,23038
St. Thomas Aquinas College,Private,No,0.7799,NULL,21106,46900,18741,0.543,21106
Sarah Lawrence College,Private,No,0.5319,NULL,33358,43000,13625,0.7941,33358
Siena College,Private,No,0.7785,NULL,27588,57100,23250,0.7816,27588
Skidmore College,Private,No,0.2452,NULL,27410,49700,19500,0.8703,27410
St. Joseph's College-New York,Private,No,0.6768,NULL,15665,50400,15000,0.7122,15665
Saint John Fisher College,Private,No,0.6453,NULL,27023,47800,20000,0.7409,27023
St John's University-New York,Private,No,0.6773,NULL,25747,55200,19000,0.5792,25747
SUNY College of Technology at Delhi,Public,No,0.6241,15559,NULL,37200,11170,0.4417,15559
SUNY at Albany,Public,No,0.5401,18093,NULL,51500,15250,0.6503,18093
Binghamton University,Public,No,0.4036,18378,NULL,61600,16750,0.8231,18378
University at Buffalo,Public,No,0.5734,17469,NULL,52600,14851,0.7528,17469
Stony Brook University,Public,No,0.4219,13770,NULL,57600,15938,0.7181,13770
SUNY College of Environmental Science and Forestry,Public,No,0.5215,17923,NULL,45600,14000,0.784,17923
SUNY Polytechnic Institute,Public,No,0.6247,14878,NULL,51000,13000,0.5152,14878
SUNY College at Brockport,Public,No,0.5318,16211,NULL,42600,15415,0.659,16211
SUNY Buffalo State,Public,No,0.5756,13111,NULL,39800,13250,0.4738,13111
SUNY Cortland,Public,No,0.4793,19562,NULL,47000,17500,0.7102,19562
SUNY at Fredonia,Public,No,0.6491,16074,NULL,41700,18500,0.6311,16074
SUNY College at Geneseo,Public,No,0.7236,18879,NULL,48800,16979,0.7736,18879
State University of New York at New Paltz,Public,No,0.443,16192,NULL,45000,15508,0.7229,16192
SUNY Oneonta,Public,No,0.5952,17513,NULL,43400,17330,0.709,17513
SUNY College at Oswego,Public,No,0.5365,15959,NULL,43900,16771,0.6567,15959
SUNY College at Potsdam,Public,No,0.666,14425,NULL,39700,18050,0.5251,14425
SUNY at Purchase College,Public,No,0.7401,19205,NULL,35200,17829,0.6651,19205
SUNY College at Old Westbury,Public,No,0.7822,11289,NULL,44300,13000,0.4787,11289
SUNY College at Plattsburgh,Public,No,0.529,14022,NULL,42400,15857,0.6257,14022
SUNY Empire State College,Public,No,NULL,13173,NULL,41400,14250,0.1389,13173
SUNY Maritime College,Public,No,0.695,18413,NULL,82800,20000,0.6267,18413
Syracuse University,Private,No,0.4688,NULL,34173,62100,25000,0.8272,34173
Touro College,Private,No,0.7437,NULL,23539,30400,12500,0.5708,23539
United States Merchant Marine Academy,Public,No,0.2216,6796,NULL,88100,10983,0.8051,6796
Utica College,Private,No,0.8366,NULL,21360,45300,16250,0.4896,21360
School of Visual Arts,Private,Yes,0.7236,NULL,43387,41800,22625,0.6407,43387
Wagner College,Private,No,0.6969,NULL,30106,56700,21500,0.7021,30106
Yeshiva University,Private,No,0.6282,NULL,36306,58500,14500,0.8163,36306
Appalachian State University,Public,No,0.7,13691,NULL,38800,15647,0.7344,13691
Barton College,Private,No,0.3891,NULL,23472,38100,18625,0.5256,23472
Cabarrus College of Health Sciences,Private,No,0.8421,NULL,17072,48600,15708,0.5909,17072
Campbell University,Private,No,0.8058,NULL,24446,45900,14750,0.5168,24446
Catawba College,Private,No,0.424,NULL,19807,39400,17000,0.4332,19807
Chowan University,Private,No,0.6004,NULL,17199,34300,10500,0.2595,17199
Duke University,Private,No,0.0986,NULL,36415,84400,10500,0.9535,36415
East Carolina University,Public,No,0.7902,15415,NULL,40500,18250,0.6214,15415
Elizabeth City State University,Public,No,0.5981,2060,NULL,30400,20500,0.3798,2060
Elon University,Private,No,0.6653,NULL,34459,51900,19500,0.8377,34459
Fayetteville State University,Public,No,0.6756,5824,NULL,31200,17812,0.3292,5824
Gardner-Webb University,Private,No,0.527,NULL,21154,38700,17000,0.4912,21154
Greensboro College,Private,No,0.4069,NULL,30811,36900,12500,0.1636,30811
High Point University,Private,No,0.8066,NULL,38741,39000,19000,0.634,38741
John Wesley University,Private,No,0.4464,NULL,18737,33900,12000,0.25,18737
Johnson C Smith University,Private,No,0.381,NULL,19820,28400,19305,0.4355,19820
Lenoir-Rhyne University,Private,No,0.739,NULL,18861,38500,15952,0.4325,18861
Mars Hill University,Private,No,0.5822,NULL,17078,31500,14250,0.3138,17078
Meredith College,Private,No,0.6891,NULL,24545,39500,19500,0.6297,24545
Methodist University,Private,No,0.572,NULL,31129,39300,12000,0.3138,31129
Montreat College,Private,No,0.6515,NULL,19720,37000,14719,0.3171,19720
University of Mount Olive,Private,No,0.491,NULL,14909,39500,19474,0.4208,14909
North Carolina A & T State University,Public,No,0.6223,11743,NULL,34700,21002,0.4274,11743
University of North Carolina at Asheville,Public,No,0.8039,12799,NULL,34500,14000,0.6164,12799
University of North Carolina at Chapel Hill,Public,No,0.244,14163,NULL,55600,14786,0.9087,14163
University of North Carolina at Charlotte,Public,No,0.6584,16286,NULL,44000,17000,0.5398,16286
University of North Carolina at Greensboro,Public,No,0.7804,12226,NULL,37500,15150,0.5429,12226
North Carolina Central University,Public,No,0.8281,13474,NULL,32900,24500,0.4389,13474
University of North Carolina School of the Arts,Public,No,0.3264,14101,NULL,35500,24179,0.7022,14101
North Carolina State University at Raleigh,Public,No,0.5136,15024,NULL,52500,18438,0.7864,15024
University of North Carolina Wilmington,Public,No,0.6652,18093,NULL,41600,15860,0.7248,18093
University of North Carolina at Pembroke,Public,No,0.8074,12265,NULL,34400,15146,0.3972,12265
Pfeiffer University,Private,No,0.6602,NULL,23898,39200,15280,0.4211,23898
Queens University of Charlotte,Private,No,0.7916,NULL,23348,42200,20328,0.5449,23348
Salem College,Private,No,0.5684,NULL,17836,36300,19506,0.5691,17836
Shaw University,Private,No,0.5286,NULL,18719,29200,12000,0.1764,18719
St. Andrews University,Private,No,0.4123,NULL,25965,37200,9500,0.3451,25965
Wake Forest University,Private,No,0.2757,NULL,33382,63800,17500,0.8824,33382
Warren Wilson College,Private,No,0.7936,NULL,25117,25600,14459,0.533,25117
Wingate University,Private,No,0.9324,NULL,18354,43200,12000,0.5234,18354
Winston-Salem State University,Public,No,0.6657,11811,NULL,33200,16159,0.4938,11811
Western Carolina University,Public,No,0.3884,15157,NULL,37700,15878,0.5903,15157
University of Jamestown,Private,No,0.6525,NULL,18109,43800,16750,0.5256,18109
University of Mary,Private,No,0.7635,NULL,17342,48000,16349,0.5374,17342
Minot State University,Public,No,0.6897,10806,NULL,41200,11169,0.3701,10806
University of North Dakota,Public,No,0.8348,15056,NULL,48700,17125,0.5362,15056
North Dakota State University-Main Campus,Public,No,0.9159,15265,NULL,48200,15000,0.5798,15265
Trinity Bible College and Graduate School,Private,No,0.4236,NULL,21023,27000,10142,0.4082,21023
Valley City State University,Public,No,0.763,12565,NULL,39300,11897,0.3487,12565
University of Akron Main Campus,Public,No,0.9255,17951,NULL,36500,15402,0.3789,17951
Art Academy of Cincinnati,Private,No,0.4544,NULL,25123,25800,14000,0.5606,25123
Ashland University,Private,No,0.7351,NULL,20221,40400,19356,0.5987,20221
Baldwin Wallace University,Private,No,0.7805,NULL,23729,44400,24000,0.6737,23729
Bluffton University,Private,No,0.4884,NULL,24452,39000,19000,0.508,24452
Bowling Green State University-Main Campus,Public,No,0.732,19128,NULL,40500,17125,0.5306,19128
Capital University,Private,No,0.6865,NULL,20866,44000,21500,0.5884,20866
Case Western Reserve University,Private,No,0.3312,NULL,35316,74600,21000,0.8257,35316
Cedarville University,Private,No,0.7145,NULL,21490,41300,17000,0.7168,21490
Central State University,Public,No,0.4801,13862,NULL,26100,9500,0.2028,13862
Cincinnati Christian University,Private,No,0.8811,NULL,20445,32700,10800,0.4,20445
University of Cincinnati-Main Campus,Public,No,0.7649,23498,NULL,42300,13000,0.6886,23498
Ohio Christian University,Private,No,NULL,NULL,25529,31800,15502,0.2867,25529
Cleveland Institute of Music,Private,No,0.4306,NULL,37695,40100,19798,0.4533,37695
Cleveland State University,Public,No,0.9006,16926,NULL,41300,15728,0.4315,16926
Columbus College of Art and Design,Private,No,0.7011,NULL,18539,32200,21750,0.6119,18539
University of Dayton,Private,No,0.7168,NULL,32721,55100,20500,0.7868,32721
Defiance College,Private,No,0.5648,NULL,24626,41000,18875,0.3925,24626
The University of Findlay,Private,No,0.7508,NULL,22619,43200,19389,0.6129,22619
Franklin University,Private,No,NULL,NULL,24692,48500,15880,0.0566,24692
Gods Bible School and College,Private,No,NULL,NULL,10311,22600,5500,0.4,10311
Heidelberg University,Private,No,0.7606,NULL,23541,39300,19500,0.4912,23541
Hiram College,Private,No,0.6353,NULL,21474,42700,22500,0.557,21474
John Carroll University,Private,No,0.8503,NULL,25017,53800,23250,0.779,25017
Kent State University at Kent,Public,No,0.8751,18432,NULL,38000,17470,0.577,18432
Kettering College,Private,No,0.2836,NULL,19664,54500,21750,0.5176,19664
Lake Erie College,Private,No,0.6045,NULL,19160,36200,15250,0.4641,19160
Lourdes University,Private,No,0.9667,NULL,18434,36500,21348,0.3333,18434
Malone University,Private,No,0.6599,NULL,20603,41700,15703,0.4903,20603
Marietta College,Private,No,0.6703,NULL,24022,45800,23322,0.5884,24022
Miami University-Oxford,Public,No,0.682,21288,NULL,47100,15750,0.7914,21288
Mount Carmel College of Nursing,Private,No,0.9932,NULL,18093,57700,21500,0.7284,18093
University of Mount Union,Private,No,0.8109,NULL,22786,42900,20500,0.6181,22786
Mount Vernon Nazarene University,Private,No,0.7674,NULL,21112,43600,18719,0.632,21112
Mount Saint Joseph University,Private,No,0.7325,NULL,17775,41400,19500,0.6069,17775
Muskingum University,Private,No,0.7439,NULL,19252,39600,19288,0.4823,19252
Notre Dame College,Private,No,0.8948,NULL,21106,42600,16750,0.3655,21106
University of Northwestern Ohio,Private,No,NULL,NULL,18653,40800,14000,0.5666,18653
Oberlin College,Private,No,0.3372,NULL,31331,40800,21215,0.8627,31331
Ohio Dominican University,Private,No,0.7716,NULL,19454,41000,17875,0.474,19454
Ohio Northern University,Private,No,0.661,NULL,23100,63500,21625,0.7562,23100
Ohio State University-Main Campus,Public,No,0.4806,17699,NULL,46100,14750,0.8264,17699
Ohio University-Main Campus,Public,No,0.7393,21892,NULL,40500,14000,0.6408,21892
Otterbein University,Private,No,0.764,NULL,24287,43100,20791,0.6367,24287
University of Rio Grande,Private,No,NULL,NULL,32597,33900,11700,0.3863,32597
Shawnee State University,Public,No,0.6891,15646,NULL,34200,12250,0.2922,15646
Franciscan University of Steubenville,Private,No,0.8318,NULL,23699,37700,20500,0.7768,23699
Tiffin University,Private,No,0.6883,NULL,20638,42600,18549,0.2816,20638
University of Toledo,Public,No,0.9435,15095,NULL,43800,13000,0.4075,15095
Union Institute & University,Private,No,NULL,NULL,16134,42400,16125,0,16134
Ursuline College,Private,No,0.9333,NULL,17579,47800,22500,0.5256,17579
Walsh University,Private,No,0.7923,NULL,18875,43500,22249,0.6113,18875
Wilberforce University,Private,No,0.4829,NULL,10892,34200,9500,0.2566,10892
Wittenberg University,Private,No,0.7218,NULL,24263,43200,19410,0.6654,24263
Wright State University-Main Campus,Public,No,0.9677,16249,NULL,39500,14000,0.3576,16249
Xavier University,Private,No,0.7391,NULL,30019,51600,21500,0.6924,30019
Youngstown State University,Public,No,0.6363,10943,NULL,35900,17250,0.3443,10943
Oklahoma Wesleyan University,Private,No,0.6231,NULL,26109,50900,13979,0.4545,26109
Southern Nazarene University,Private,No,NULL,NULL,20311,47600,18750,0.4524,20311
Cameron University,Public,No,NULL,8636,NULL,34300,11000,0.1795,8636
University of Central Oklahoma,Public,No,0.7552,14594,NULL,38800,12500,0.3771,14594
East Central University,Public,No,0.4802,9233,NULL,36800,11547,0.3258,9233
Randall University,Private,No,0.4057,NULL,15557,34500,8316,0.2449,15557
Langston University,Public,No,NULL,13137,NULL,27700,12250,0.0909,13137
Northeastern State University,Public,No,0.9569,9167,NULL,35800,12212,0.316,9167
Northwestern Oklahoma State University,Public,No,0.8304,8612,NULL,36400,9258,0.2295,8612
Oklahoma Christian University,Private,No,0.6281,NULL,18206,38500,17397,0.5376,18206
Oklahoma State University-Main Campus,Public,No,0.7428,14824,NULL,46500,15000,0.6199,14824
Oklahoma Baptist University,Private,No,0.6472,NULL,16267,40500,13156,0.5853,16267
Oklahoma City University,Private,No,0.717,NULL,26838,42800,18367,0.6295,26838
University of Oklahoma-Norman Campus,Public,No,0.74,19254,NULL,51100,15892,0.6727,19254
Oral Roberts University,Private,No,0.9334,NULL,19035,37600,18500,0.5653,19035
Rogers State University,Public,No,NULL,13839,NULL,34000,9500,0.166,13839
Southeastern Oklahoma State University,Public,No,0.724,8253,NULL,35800,10250,0.2735,8253
Southwestern Christian University,Private,No,0.7704,NULL,11925,29300,12000,0.2521,11925
Southwestern Oklahoma State University,Public,No,0.9197,12002,NULL,39300,9692,0.3077,12002
University of Tulsa,Private,No,0.3895,NULL,23948,48500,16000,0.6852,23948
Concordia University-Portland,Private,No,0.4864,NULL,21765,43300,12000,0.4762,21765
Eastern Oregon University,Public,No,0.9773,14529,NULL,41200,14527,0.3072,14529
George Fox University,Private,No,0.8189,NULL,28366,45100,19500,0.7168,28366
Lewis & Clark College,Private,No,0.7137,NULL,34838,46200,17480,0.8007,34838
Multnomah University,Private,No,0.6507,NULL,24630,34100,14988,0.3167,24630
Northwest Christian University,Private,No,0.688,NULL,19277,43100,15000,0.5536,19277
Oregon Institute of Technology,Public,No,0.6142,17041,NULL,56600,15452,0.4497,17041
Oregon College of Art and Craft,Private,No,0.9737,NULL,26654,25100,12500,0.5455,26654
Oregon State University,Public,No,0.7884,20493,NULL,49600,17000,0.6534,20493
University of Oregon,Public,No,0.8281,15693,NULL,44800,15895,0.72,15693
Pacific Northwest College of Art,Private,No,0.9474,NULL,32541,27400,16517,0.3067,32541
Pacific University,Private,No,0.8449,NULL,29902,46600,18907,0.6444,29902
Portland State University,Public,No,0.9244,14160,NULL,44700,16500,0.4894,14160
University of Portland,Private,No,0.6954,NULL,33239,58800,20500,0.8153,33239
Reed College,Private,No,0.3563,NULL,31815,42200,11298,0.7984,31815
Southern Oregon University,Public,No,0.7848,9164,NULL,39000,14499,0.3785,9164
Warner Pacific University,Private,No,0.9532,NULL,21780,41000,23000,0.3854,21780
Corban University,Private,No,0.3299,NULL,24491,37600,18575,0.4982,24491
Willamette University,Private,No,0.8909,NULL,28327,51100,19500,0.731,28327
Western Oregon University,Public,No,0.8059,16875,NULL,39700,15000,0.4351,16875
Albright College,Private,No,0.5004,NULL,23258,46700,23734,0.5318,23258
DeSales University,Private,No,0.7379,NULL,27745,49700,19165,0.7011,27745
Alvernia University,Private,No,0.7081,NULL,26359,44500,22700,0.5984,26359
Clarks Summit University,Private,No,0.5508,NULL,18011,32000,13094,0.6486,18011
Arcadia University,Private,No,0.6229,NULL,25917,44100,22847,0.6627,25917
Bloomsburg University of Pennsylvania,Public,No,0.7325,18796,NULL,44500,19500,0.5804,18796
Bryn Mawr College,Private,No,0.3801,NULL,25672,54600,21395,0.8338,25672
Bucknell University,Private,No,0.3108,NULL,40976,70800,23250,0.9039,40976
Cabrini University,Private,No,0.7321,NULL,24169,46600,17705,0.5754,24169
California University of Pennsylvania,Public,No,0.961,19677,NULL,41600,18250,0.5157,19677
Carlow University,Private,No,0.9164,NULL,17127,39700,20600,0.5708,17127
Carnegie Mellon University,Private,No,0.222,NULL,31102,83600,21500,0.8884,31102
Cedar Crest College,Private,No,0.6333,NULL,21060,46700,21000,0.5043,21060
Central Penn College,Private,Yes,0.789,NULL,18889,35300,12667,0.4474,18889
Chatham University,Private,No,0.5455,NULL,20906,36600,14500,0.6308,20906
Chestnut Hill College,Private,No,0.9572,NULL,22397,43600,20835,0.55,22397
Cheyney University of Pennsylvania,Public,No,NULL,15425,NULL,29400,15000,0.2562,15425
Clarion University of Pennsylvania,Public,No,0.9549,19409,NULL,37900,19500,0.5033,19409
Delaware Valley University,Private,No,0.664,NULL,29674,42100,18233,0.559,29674
Drexel University,Private,No,0.7904,NULL,37427,68800,20750,0.709,37427
Duquesne University,Private,No,0.717,NULL,28961,58500,24247,0.8032,28961
East Stroudsburg University of Pennsylvania,Public,No,0.8356,17536,NULL,44600,15000,0.4814,17536
Eastern University,Private,No,0.6561,NULL,22257,42500,19125,0.6349,22257
Edinboro University of Pennsylvania,Public,No,0.9253,16085,NULL,35400,18480,0.4298,16085
Elizabethtown College,Private,No,0.7402,NULL,28227,51300,25651,0.7456,28227
Gannon University,Private,No,0.799,NULL,21806,48100,25000,0.6815,21806
Geneva College,Private,No,0.6901,NULL,19914,38700,19500,0.6859,19914
Gwynedd Mercy University,Private,No,0.9377,NULL,23564,54300,20387,0.4932,23564
Holy Family University,Private,No,0.7075,NULL,15323,52700,20000,0.5521,15323
Immaculata University,Private,No,0.8294,NULL,31971,50600,21724,0.6204,31971
Indiana University of Pennsylvania-Main Campus,Public,No,0.9082,20761,NULL,40800,20500,0.5585,20761
Juniata College,Private,No,0.7077,NULL,24795,49200,26803,0.8375,24795
Keystone College,Private,No,0.944,NULL,19609,33100,18487,0.3884,19609
King's College,Private,No,0.7092,NULL,25898,51000,20500,0.6673,25898
Kutztown University of Pennsylvania,Public,No,0.8314,20789,NULL,41600,19125,0.5305,20789
La Roche University,Private,No,0.9657,NULL,20792,40400,19000,0.5038,20792
La Salle University,Private,No,0.7927,NULL,25937,58000,19500,0.6695,25937
Lancaster Bible College,Private,No,0.7181,NULL,21145,34300,13741,0.5702,21145
Lebanon Valley College,Private,No,0.73,NULL,27287,45800,23460,0.7323,27287
Lehigh University,Private,No,0.2515,NULL,34212,81900,21000,0.8579,34212
Lincoln University,Public,No,0.7968,18769,NULL,34600,19500,0.4623,18769
Lock Haven University,Public,No,0.8904,19034,NULL,41500,19500,0.5472,19034
Mansfield University of Pennsylvania,Public,No,0.8919,21004,NULL,38600,20000,0.4992,21004
Marywood University,Private,No,0.7512,NULL,23541,39600,24500,0.6864,23541
Mercyhurst University,Private,No,0.6992,NULL,19898,40300,17076,0.6831,19898
Messiah College,Private,No,0.7701,NULL,27200,45100,21250,0.8052,27200
Millersville University of Pennsylvania,Public,No,0.7949,22032,NULL,43500,17150,0.6155,22032
Misericordia University,Private,No,0.7879,NULL,25561,50400,23250,0.7609,25561
Moore College of Art and Design,Private,No,0.5407,NULL,33969,33300,21990,0.5652,33969
Moravian College,Private,No,0.7597,NULL,26838,51100,21500,0.631,26838
Mount Aloysius College,Private,No,0.6087,NULL,21940,40800,18500,0.4337,21940
Neumann University,Private,No,0.9628,NULL,22583,44300,24176,0.5664,22583
Pennsylvania State University-Penn State Erie-Behrend College,Public,No,0.8891,24477,NULL,50100,19500,0.6518,24477
Pennsylvania State University-Penn State Lehigh Valley,Public,No,0.8534,14178,NULL,50100,19500,0.5455,14178
Pennsylvania State University-Penn State Harrisburg,Public,No,0.8375,21974,NULL,50100,19500,0.581,21974
Pennsylvania State University-Main Campus,Public,No,0.5031,30373,NULL,50100,19500,0.8481,30373
Pennsylvania State University-Penn State York,Public,No,0.825,16123,NULL,50100,19500,0.5683,16123
Peirce College,Private,No,NULL,NULL,8303,46500,18475,0.2083,8303
Pennsylvania Academy of the Fine Arts,Private,No,0.927,NULL,36790,20200,19500,0.5714,36790
University of Pennsylvania,Private,No,0.093,NULL,24242,85900,17085,0.9572,24242
The University of the Arts,Private,No,0.7404,NULL,36721,32600,24390,0.6296,36721
Cairn University-Langhorne,Private,No,0.9855,NULL,18776,34800,22616,0.6048,18776
University of the Sciences,Private,No,0.6076,NULL,31454,91600,26999,0.7267,31454
University of Pittsburgh-Pittsburgh Campus,Public,No,0.5971,28331,NULL,53900,20500,0.8249,28331
Point Park University,Private,No,0.6486,NULL,19494,37100,21500,0.5471,19494
Robert Morris University,Private,No,0.8332,NULL,25996,47700,22617,0.6069,25996
Rosemont College,Private,No,0.6961,NULL,19151,44700,17750,0.6132,19151
Saint Francis University,Private,No,0.7574,NULL,26040,52200,27000,0.6357,26040
Saint Joseph's University,Private,No,0.7718,NULL,33546,59600,20250,0.8196,33546
Saint Vincent College,Private,No,0.6193,NULL,20909,47600,24250,0.6919,20909
University of Scranton,Private,No,0.7479,NULL,35298,57500,25949,0.7686,35298
Seton Hill University,Private,No,0.7465,NULL,24515,40200,23250,0.5815,24515
Shippensburg University of Pennsylvania,Public,No,0.8355,21714,NULL,45000,18500,0.5152,21714
Slippery Rock University of Pennsylvania,Public,No,0.7149,18921,NULL,41700,19500,0.6605,18921
Temple University,Public,No,0.5667,23366,NULL,50500,20149,0.7102,23366
University of Valley Forge,Private,No,0.5321,NULL,21369,31100,19000,0.4491,21369
Villanova University,Private,No,0.36,NULL,41849,77900,25000,0.903,41849
Waynesburg University,Private,No,0.9534,NULL,19258,45300,22500,0.665,19258
West Chester University of Pennsylvania,Public,No,0.685,22193,NULL,48400,19000,0.726,22193
Westminster College,Private,No,0.7248,NULL,21618,43200,21375,0.6953,21618
Widener University,Private,No,0.6543,NULL,30017,53400,20834,0.5709,30017
Wilkes University,Private,No,0.7531,NULL,25852,51600,20101,0.5974,25852
Wilson College,Private,No,0.5877,NULL,19743,33100,16200,0.5147,19743
York College of Pennsylvania,Private,No,0.699,NULL,20779,50400,21250,0.5674,20779
Brown University,Private,No,0.0849,NULL,30205,67500,14500,0.9514,30205
Bryant University,Private,No,0.7298,NULL,37452,69300,25000,0.7906,37452
Johnson & Wales University-Providence,Private,No,0.8753,NULL,25874,38800,15250,0.6335,25874
New England Institute of Technology,Private,No,NULL,NULL,31422,42800,14165,0.5241,31422
Providence College,Private,No,0.5152,NULL,38823,64100,27000,0.8422,38823
Rhode Island College,Public,No,0.7359,10366,NULL,41400,14477,0.4619,10366
University of Rhode Island,Public,No,0.7006,19431,NULL,52900,18500,0.656,19431
