name,type,for_profit,admissions_rate,average_net_price_public,average_net_price_private,median_10yr_earnings,median_debt,completion_rate,average_net_price
Southern Connecticut State University,Public,No,0.6492,17327,NULL,45300,16000,0.4811,17327
Trinity College,Private,No,0.3387,NULL,31808,66100,19432,0.8102,31808
Wesleyan University,Private,No,0.1629,NULL,29956,54700,15500,0.9021,29956
Western Connecticut State University,Public,No,0.7083,18012,NULL,45200,17500,0.4389,18012
Yale University,Private,No,0.0693,NULL,18627,83200,12000,0.974,18627
Delaware State University,Public,No,0.4518,13014,NULL,35800,19000,0.3672,13014
University of Delaware,Public,No,0.6289,16892,NULL,57000,21166,0.8235,16892
Goldey-Beacom College,Private,No,0.5177,NULL,14222,44500,13994,0.3704,14222
Wesley College,Private,No,0.6151,NULL,23762,42900,16000,0.1724,23762
Wilmington University,Private,No,NULL,NULL,14600,42500,15334,0.2592,14600
American University,Private,No,0.294,NULL,36567,61000,20500,0.7922,36567
Catholic University of America,Private,No,0.8258,NULL,32731,56800,23750,0.7358,32731
University of the District of Columbia,Public,No,NULL,17548,NULL,35200,12500,0.159,17548
Gallaudet University,Private,No,0.5901,NULL,14205,31000,11105,0.525,14205
George Washington University,Private,No,0.4098,NULL,31956,69600,19500,0.8063,31956
Georgetown University,Private,No,0.1568,NULL,30107,93500,14500,0.9461,30107
Howard University,Private,No,0.4142,NULL,23424,49200,22500,0.6336,23424
Strayer University-District of Columbia,Private,Yes,NULL,NULL,22511,45900,12667,0,22511
Trinity Washington University,Private,No,0.9228,NULL,16777,38800,18709,0.3598,16777
The Baptist College of Florida,Private,No,0.6195,NULL,10904,31800,14000,0.4667,10904
Barry University,Private,No,0.8507,NULL,20254,45800,19500,0.3489,20254
Bethune-Cookman University,Private,No,NULL,NULL,17824,29200,16750,0.3657,17824
Lynn University,Private,No,0.8463,NULL,35077,39300,11250,0.5123,35077
Carlos Albizu University-Miami,Private,No,1,NULL,33833,30200,5500,0.7,33833
University of Central Florida,Public,No,0.499,15286,NULL,45400,14875,0.7001,15286
South University-West Palm Beach,Private,Yes,NULL,NULL,22055,33400,12667,0.2727,22055
Embry-Riddle Aeronautical University-Daytona Beach,Private,No,0.7491,NULL,33120,66200,13750,0.591,33120
Florida Agricultural and Mechanical University,Public,No,0.4563,14279,NULL,37600,19500,0.4761,14279
Florida Atlantic University,Public,No,0.6001,10466,NULL,43200,12500,0.512,10466
AdventHealth University,Private,No,0.9685,NULL,18899,56000,16646,0.1923,18899
Florida Institute of Technology,Private,No,0.6346,NULL,31592,56600,12625,0.6033,31592
Florida International University,Public,No,0.5407,12503,NULL,46300,14750,0.5662,12503
Florida Memorial University,Private,No,0.2733,NULL,17311,27600,14250,0.376,17311
Florida Southern College,Private,No,0.5146,NULL,24679,41400,18750,0.6322,24679
Florida State University,Public,No,0.4919,14582,NULL,46400,17500,0.8017,14582
University of Florida,Public,No,0.4201,12343,NULL,56000,14954,0.8803,12343
Full Sail University,Private,Yes,NULL,NULL,26077,39300,14750,0.2654,26077
AI Miami International University of Art and Design,Private,Yes,NULL,NULL,20363,31600,13000,0.293,20363
Jacksonville University,Private,No,0.867,NULL,26767,50500,15230,0.4308,26767
Keiser University-Ft Lauderdale,Private,No,NULL,NULL,29344,31100,13353,0.5882,29344
Luther Rice College & Seminary,Private,No,0.5484,NULL,17312,44800,18789,0.1111,17312
University of Miami,Private,No,0.357,NULL,29184,60100,15577,0.8372,29184
University of North Florida,Public,No,0.5871,13795,NULL,43200,12324,0.5728,13795
Nova Southeastern University,Private,No,0.5817,NULL,26606,45300,18000,0.5237,26606
Palm Beach Atlantic University,Private,No,0.9739,NULL,23891,40600,15000,0.5305,23891
Rollins College,Private,No,0.6389,NULL,30202,45700,21643,0.7532,30202
Saint Leo University,Private,No,0.5849,NULL,18456,43800,15750,0.4798,18456
University of South Florida-Main Campus,Public,No,0.4536,11700,NULL,43500,15500,0.7092,11700
St. Thomas University,Private,No,0.4871,NULL,22866,49400,13005,0.4423,22866
Stetson University,Private,No,0.6783,NULL,26883,43200,19000,0.6232,26883
Southeastern University,Private,No,0.535,NULL,23066,34800,11250,0.3996,23066
Altierus Career College-Tampa,Private,No,NULL,NULL,19714,26100,12434,0.5744,19714
The University of Tampa,Private,No,0.5326,NULL,29735,48600,16696,0.5969,29735
Trinity Baptist College,Private,No,0.3447,NULL,15736,33600,9500,0.3542,15736
Warner University,Private,No,0.4148,NULL,17413,38600,15864,0.403,17413
Webber International University,Private,No,0.4923,NULL,23921,37200,9500,0.3191,23921
The University of West Florida,Public,No,0.4958,10729,NULL,38900,13061,0.4405,10729
Albany State University,Public,No,NULL,11590,NULL,32200,12000,0.2233,11590
Clark Atlanta University,Private,No,0.5793,NULL,33496,35500,15665,0.3976,33496
Berry College,Private,No,0.616,NULL,24165,40000,19000,0.6409,24165
Beulah Heights University,Private,No,NULL,NULL,19802,29100,19000,0.0308,19802
Brenau University,Private,No,0.6613,NULL,18531,42000,17380,0.4944,18531
Clayton  State University,Public,No,0.4179,11071,NULL,38800,17778,0.3018,11071
Columbus State University,Public,No,0.534,12250,NULL,35900,16919,0.3278,12250
